,4OFU_A_27_B_2.pdb,2QR9_A_27_C_2.pdb,4UDA_A_27_B_2.pdb,2JF9_B_27_Q_2.pdb,4OFR_A_27_B_2.pdb,1TFC_A_27_C_2.pdb,4ZUB_A_27_C_2.pdb,3IPS_B_27_D_2.pdb,1T65_A_27_B_2.pdb,4WQP_AB_27_P_2.pdb,4Q13_B_27_D_2.pdb,1XB7_A_27_P_2.pdb,1T79_A_27_B_2.pdb,4ZUB_B_27_D_2.pdb,2QXM_A_27_C_2.pdb,1XOW_A_27_B_2.pdb,4DK7_A_27_B_2.pdb,4MG8_B_27_D_2.pdb,4JYI_B_27_F_2.pdb,4QJR_A_27_B_2.pdb,3L0E_A_27_B_2.pdb,4WPF_D_27_E_2.pdb,2P54_A_27_B_2.pdb,3L0J_A_27_C_2.pdb,4OEZ_A_27_B_2.pdb,4WLB_B_27_E_2.pdb,1T74_A_27_B_2.pdb,2NPA_A_27_B_2.pdb,4PPS_A_27_C_2.pdb,2ZMJ_A_27_C_2.pdb,3Q97_B_27_D_2.pdb,3D24_C_27_D_2.pdb,4S15_B_27_D_2.pdb,3V49_A_27_B_2.pdb,2BJ4_B_27_D_1.pdb,4OKX_A_27_B_2.pdb,4IUI_B_27_D_2.pdb,1T7F_A_27_B_2.pdb,1T5Z_A_27_B_2.pdb,3A2H_A_27_B_2.pdb,4DOR_B_27_D_2.pdb,4Q13_A_27_C_2.pdb,3FEI_A_27_Z_2.pdb,2ZL9_A_27_C_2.pdb,3BEJ_A_27_E_2.pdb,3L3Z_A_27_B_2.pdb,2AO6_A_27_B_2.pdb,4LSJ_A_27_B_2.pdb,4JYG_B_27_F_2.pdb,4OHA_A_27_B_2.pdb,2BJ4_A_27_C_1.pdb,1RDT_D_27_E_2.pdb,2FAI_B_27_D_2.pdb,1RDT_A_27_B_2.pdb,3OMK_C_27_D_2.pdb,4P6W_A_27_B_2.pdb,3SP6_A_27_B_2.pdb,2QGT_A_27_C_2.pdb,3G9E_A_27_B_2.pdb,4ZN9_B_27_D_2.pdb,3W0I_A_27_C_2.pdb,1T73_A_27_B_2.pdb,3AUN_A_27_B_2.pdb,1TFC_B_27_D_2.pdb,3L3X_A_27_B_2.pdb,4XT9_A_27_B_2.pdb,3BEJ_B_27_F_2.pdb,4PXM_B_27_D_2.pdb,2JF9_AC_27_R_3.pdb,3OLL_A_27_C_2.pdb,1RKG_A_27_C_2.pdb,3W0G_A_27_C_2.pdb,1FM9_A_27_B_2.pdb,1K7L_G_27_H_2.pdb,1GWQ_A_27_C_2.pdb,2QXM_B_27_D_2.pdb,3FS1_A_27_B_2.pdb,2QGW_A_27_C_2.pdb,4OK1_A_27_B_2.pdb,4NIE_B_27_C_2.pdb,1T7R_A_27_B_2.pdb,4OAR_A_27_B_2.pdb,2J7Y_A_27_B_2.pdb,1L2I_B_27_D_2.pdb,2J7X_A_27_B_2.pdb,4ZI1_A_27_B_2.pdb,3L03_A_27_C_2.pdb,4J24_D_27_L_2.pdb,3F7D_A_27_B_2.pdb,4OEY_A_27_B_2.pdb,3ET3_A_27_P_2.pdb,3GYT_A_27_B_2.pdb,3KMR_A_27_C_2.pdb,1NRL_B_27_D_2.pdb,1PZL_A_27_B_2.pdb,1ZDT_B_27_Q_2.pdb,1L2I_A_27_C_2.pdb,4OKT_A_27_B_2.pdb,3MNO_A_27_B_2.pdb,4DM8_B_27_D_2.pdb,3RUU_A_27_B_2.pdb,4OKW_A_27_B_2.pdb,2QZO_A_27_C_2.pdb,4IUI_A_27_C_2.pdb,4MG6_B_27_D_2.pdb,3VN2_A_27_C_2.pdb,4JYI_A_27_G_2.pdb,1K74_D_27_E_2.pdb,2Q3Y_A_27_B_2.pdb,1N4H_A_27_B_2.pdb,3T03_B_27_D_2.pdb,3BQD_A_27_B_2.pdb,2OVH_A_27_B_2.pdb,3QT0_A_27_C_2.pdb,2GPO_A_27_C_2.pdb,1T7M_A_27_B_2.pdb
3G9E_A_27_B_2.pdb,0.7237687366167024,0.7398286937901499,0.7291220556745182,0.7408993576017131,0.7237687366167024,0.7591006423982869,0.7441113490364025,0.7708779443254818,0.7162740899357601,0.771948608137045,0.7462526766595289,0.7483940042826552,0.7173447537473233,0.7419700214132763,0.7462526766595289,0.7226980728051392,0.7687366167023555,0.7441113490364025,0.7740899357601713,0.7269807280513919,0.7633832976445396,0.7740899357601713,0.8693790149892934,0.7740899357601713,0.7237687366167024,0.7698072805139187,0.7173447537473233,0.860813704496788,0.7451820128479657,0.7633832976445396,0.7398286937901499,0.7537473233404711,0.7751605995717344,0.7226980728051392,0.7323340471092077,0.7237687366167024,0.7483940042826552,0.7173447537473233,0.7162740899357601,0.7633832976445396,0.7291220556745182,0.7483940042826552,0.8747323340471093,0.7633832976445396,0.7794432548179872,0.7173447537473233,0.7237687366167024,0.7066381156316917,0.7762312633832976,0.721627408993576,0.7376873661670236,0.9785867237687366,0.7387580299785867,0.7687366167023555,0.7730192719486081,0.7291220556745182,0.8715203426124197,0.7473233404710921,1.0,0.7408993576017131,0.7612419700214133,0.7173447537473233,0.7644539614561028,0.7558886509635975,0.7184154175588865,0.7751605995717344,0.771948608137045,0.7494646680942184,0.7387580299785867,0.7451820128479657,0.7633832976445396,0.7612419700214133,0.7591006423982869,0.8511777301927195,0.7387580299785867,0.7398286937901499,0.7633832976445396,0.7473233404710921,0.7173447537473233,0.7740899357601713,0.7173447537473233,0.7130620985010707,0.7473233404710921,0.7473233404710921,0.7473233404710921,0.7441113490364025,0.7494646680942184,0.7505353319057816,0.7334047109207709,0.7237687366167024,0.9646680942184154,0.7291220556745182,0.7762312633832976,0.7194860813704497,0.7633832976445396,0.734475374732334,0.7516059957173448,0.7184154175588865,0.721627408993576,0.7751605995717344,0.7751605995717344,0.7248394004282656,0.7483940042826552,0.7473233404710921,0.7419700214132763,0.9817987152034261,0.7751605995717344,0.9539614561027837,0.7237687366167024,0.7751605995717344,0.9785867237687366,0.7237687366167024,0.7109207708779444,0.9443254817987152,0.7569593147751607,0.7173447537473233
4ZN9_B_27_D_2.pdb,0.7526766595289079,0.943254817987152,0.7537473233404711,0.9314775160599572,0.7516059957173448,0.7901498929336188,0.9582441113490364,0.7687366167023555,0.7516059957173448,0.7462526766595289,0.9453961456102784,0.7880085653104925,0.7526766595289079,0.9518201284796574,0.9400428265524625,0.7548179871520343,0.765524625267666,0.9411134903640257,0.7612419700214133,0.7580299785867237,0.7558886509635975,0.7505353319057816,0.7237687366167024,0.7505353319057816,0.7526766595289079,0.7473233404710921,0.7462526766595289,0.7259100642398287,0.9625267665952891,0.7633832976445396,0.943254817987152,0.8008565310492506,0.7505353319057816,0.7537473233404711,0.923982869379015,0.7537473233404711,0.9218415417558886,0.7526766595289079,0.7430406852248393,0.7633832976445396,0.7601713062098501,0.9539614561027837,0.7451820128479657,0.7623126338329764,0.7665952890792291,0.7462526766595289,0.7558886509635975,0.7312633832976445,0.7612419700214133,0.7505353319057816,0.9293361884368309,0.7451820128479657,0.9325481798715204,0.7933618843683083,0.7623126338329764,0.7644539614561028,0.7248394004282656,0.9625267665952891,0.7408993576017131,1.0,0.7601713062098501,0.7526766595289079,0.7623126338329764,0.7997858672376874,0.7473233404710921,0.7505353319057816,0.7591006423982869,0.9486081370449678,0.9400428265524625,0.8586723768736617,0.7633832976445396,0.7601713062098501,0.7794432548179872,0.7237687366167024,0.9379014989293362,0.949678800856531,0.7698072805139187,0.9561027837259101,0.7516059957173448,0.7505353319057816,0.7526766595289079,0.7451820128479657,0.8597430406852249,0.9464668094218416,0.860813704496788,0.867237687366167,0.9571734475374732,0.8725910064239829,0.7569593147751607,0.7526766595289079,0.7387580299785867,0.7334047109207709,0.765524625267666,0.7077087794432548,0.7762312633832976,0.7612419700214133,0.9571734475374732,0.7537473233404711,0.7526766595289079,0.7644539614561028,0.7633832976445396,0.7526766595289079,0.9475374732334048,0.936830835117773,0.943254817987152,0.7387580299785867,0.7633832976445396,0.7269807280513919,0.7526766595289079,0.7537473233404711,0.7419700214132763,0.7558886509635975,0.7451820128479657,0.7301927194860813,0.8008565310492506,0.7441113490364025
3W0I_A_27_C_2.pdb,0.7398286937901499,0.7612419700214133,0.7366167023554604,0.7633832976445396,0.7387580299785867,0.778372591006424,0.7633832976445396,0.8029978586723768,0.7334047109207709,0.7730192719486081,0.7665952890792291,0.7815845824411135,0.734475374732334,0.7644539614561028,0.7676659528907923,0.7376873661670236,0.797644539614561,0.7623126338329764,0.7837259100642399,0.7494646680942184,0.7880085653104925,0.7773019271948608,0.7376873661670236,0.778372591006424,0.7398286937901499,0.7740899357601713,0.734475374732334,0.7398286937901499,0.7644539614561028,0.9882226980728052,0.7591006423982869,0.7837259100642399,0.7740899357601713,0.7387580299785867,0.7569593147751607,0.7398286937901499,0.7644539614561028,0.734475374732334,0.734475374732334,0.9764453961456103,0.7505353319057816,0.7665952890792291,0.7601713062098501,0.9839400428265525,0.791220556745182,0.7334047109207709,0.7387580299785867,0.7184154175588865,0.7815845824411135,0.7387580299785867,0.7591006423982869,0.7676659528907923,0.7558886509635975,0.771948608137045,0.7869379014989293,0.7398286937901499,0.7376873661670236,0.765524625267666,0.7612419700214133,0.7601713062098501,1.0,0.734475374732334,0.9882226980728052,0.7826552462526767,0.7355460385438972,0.7794432548179872,0.784796573875803,0.7708779443254818,0.7601713062098501,0.7580299785867237,0.9828693790149893,1.0,0.7601713062098501,0.7376873661670236,0.7591006423982869,0.7569593147751607,0.7623126338329764,0.7665952890792291,0.734475374732334,0.7773019271948608,0.734475374732334,0.7291220556745182,0.7687366167023555,0.7665952890792291,0.7676659528907923,0.7558886509635975,0.7665952890792291,0.7612419700214133,0.7537473233404711,0.7398286937901499,0.7580299785867237,0.7441113490364025,0.7880085653104925,0.7730192719486081,0.7623126338329764,0.7537473233404711,0.7708779443254818,0.7355460385438972,0.734475374732334,0.7837259100642399,0.7901498929336188,0.7408993576017131,0.7708779443254818,0.7687366167023555,0.7601713062098501,0.7548179871520343,0.784796573875803,0.7462526766595289,0.7355460385438972,0.778372591006424,0.7580299785867237,0.7355460385438972,0.728051391862955,0.7526766595289079,0.7826552462526767,0.7355460385438972
1T73_A_27_B_2.pdb,0.9764453961456103,0.7516059957173448,0.8501070663811563,0.7537473233404711,0.9753747323340471,0.7665952890792291,0.7558886509635975,0.7623126338329764,0.9967880085653105,0.728051391862955,0.7591006423982869,0.7687366167023555,0.9978586723768736,0.7558886509635975,0.7580299785867237,0.9828693790149893,0.7537473233404711,0.7558886509635975,0.7387580299785867,0.7419700214132763,0.7451820128479657,0.7334047109207709,0.702355460385439,0.734475374732334,0.9764453961456103,0.7291220556745182,0.9860813704496788,0.7012847965738758,0.7548179871520343,0.7366167023554604,0.7516059957173448,0.771948608137045,0.7237687366167024,0.9732334047109208,0.7430406852248393,0.9807280513918629,0.7558886509635975,0.9978586723768736,0.9753747323340471,0.7366167023554604,0.7419700214132763,0.7612419700214133,0.7237687366167024,0.7355460385438972,0.7494646680942184,0.9753747323340471,0.9839400428265525,0.8072805139186295,0.7376873661670236,0.9721627408993576,0.7505353319057816,0.721627408993576,0.7505353319057816,0.7665952890792291,0.7441113490364025,0.8394004282655246,0.7002141327623126,0.7569593147751607,0.7173447537473233,0.7526766595289079,0.734475374732334,1.0,0.7366167023554604,0.7644539614561028,0.9764453961456103,0.734475374732334,0.7441113490364025,0.7580299785867237,0.7537473233404711,0.7665952890792291,0.7366167023554604,0.734475374732334,0.7526766595289079,0.702355460385439,0.7483940042826552,0.7505353319057816,0.7580299785867237,0.7558886509635975,0.9850107066381156,0.7334047109207709,0.9978586723768736,0.8051391862955032,0.7708779443254818,0.7580299785867237,0.771948608137045,0.7644539614561028,0.7580299785867237,0.771948608137045,0.7462526766595289,0.9764453961456103,0.715203426124197,0.721627408993576,0.7462526766595289,0.6991434689507494,0.7633832976445396,0.7462526766595289,0.7591006423982869,0.9882226980728052,0.8244111349036403,0.7419700214132763,0.7473233404710921,0.974304068522484,0.7548179871520343,0.7591006423982869,0.7526766595289079,0.715203426124197,0.7398286937901499,0.702355460385439,0.8725910064239829,0.7312633832976445,0.7226980728051392,0.8308351177730193,0.816916488222698,0.7077087794432548,0.7730192719486081,0.974304068522484
3AUN_A_27_B_2.pdb,0.7441113490364025,0.7633832976445396,0.7398286937901499,0.7676659528907923,0.7430406852248393,0.7826552462526767,0.765524625267666,0.8072805139186295,0.7355460385438972,0.778372591006424,0.7687366167023555,0.784796573875803,0.7366167023554604,0.7665952890792291,0.7698072805139187,0.7398286937901499,0.8029978586723768,0.7644539614561028,0.7901498929336188,0.7548179871520343,0.791220556745182,0.7815845824411135,0.7408993576017131,0.7837259100642399,0.7441113490364025,0.7794432548179872,0.7387580299785867,0.7430406852248393,0.7665952890792291,0.9828693790149893,0.7612419700214133,0.7869379014989293,0.778372591006424,0.7408993576017131,0.7601713062098501,0.7419700214132763,0.7676659528907923,0.7366167023554604,0.7387580299785867,0.9775160599571735,0.7569593147751607,0.7687366167023555,0.7633832976445396,0.9828693790149893,0.7933618843683083,0.7376873661670236,0.7408993576017131,0.7226980728051392,0.7869379014989293,0.7408993576017131,0.7623126338329764,0.7708779443254818,0.7580299785867237,0.7762312633832976,0.7901498929336188,0.7419700214132763,0.7408993576017131,0.7676659528907923,0.7644539614561028,0.7623126338329764,0.9882226980728052,0.7366167023554604,1.0,0.7869379014989293,0.7398286937901499,0.784796573875803,0.7880085653104925,0.7730192719486081,0.7633832976445396,0.7612419700214133,0.9850107066381156,0.9882226980728052,0.7623126338329764,0.7408993576017131,0.7612419700214133,0.7591006423982869,0.765524625267666,0.7687366167023555,0.7366167023554604,0.7826552462526767,0.7366167023554604,0.734475374732334,0.771948608137045,0.7687366167023555,0.7708779443254818,0.7591006423982869,0.7687366167023555,0.765524625267666,0.7591006423982869,0.7441113490364025,0.7612419700214133,0.7462526766595289,0.791220556745182,0.7740899357601713,0.765524625267666,0.7591006423982869,0.7751605995717344,0.7376873661670236,0.7355460385438972,0.7890792291220556,0.7933618843683083,0.7451820128479657,0.771948608137045,0.7730192719486081,0.7623126338329764,0.7580299785867237,0.791220556745182,0.7494646680942184,0.7387580299785867,0.7837259100642399,0.7612419700214133,0.7366167023554604,0.7323340471092077,0.7558886509635975,0.7869379014989293,0.7398286937901499
1TFC_B_27_D_2.pdb,0.7762312633832976,0.8029978586723768,0.7708779443254818,0.8083511777301927,0.7751605995717344,0.9603854389721628,0.8094218415417559,0.7933618843683083,0.7633832976445396,0.7580299785867237,0.8147751605995718,0.8704496788008566,0.7644539614561028,0.8115631691648822,0.8094218415417559,0.7698072805139187,0.7805139186295503,0.8115631691648822,0.7880085653104925,0.791220556745182,0.7773019271948608,0.7591006423982869,0.7398286937901499,0.7601713062098501,0.7751605995717344,0.7548179871520343,0.7676659528907923,0.7387580299785867,0.8083511777301927,0.7858672376873662,0.8051391862955032,0.8897216274089935,0.7623126338329764,0.7687366167023555,0.7965738758029979,0.7687366167023555,0.8051391862955032,0.7644539614561028,0.765524625267666,0.784796573875803,0.8008565310492506,0.8147751605995718,0.7633832976445396,0.7837259100642399,0.7805139186295503,0.7676659528907923,0.7708779443254818,0.7537473233404711,0.7890792291220556,0.765524625267666,0.8019271948608137,0.7612419700214133,0.8051391862955032,0.8211991434689507,0.7740899357601713,0.7676659528907923,0.7366167023554604,0.8115631691648822,0.7558886509635975,0.7997858672376874,0.7826552462526767,0.7644539614561028,0.7869379014989293,1.0,0.7665952890792291,0.7601713062098501,0.7773019271948608,0.815845824411135,0.80406852248394,0.8104925053533191,0.7837259100642399,0.7826552462526767,0.8083511777301927,0.7430406852248393,0.8029978586723768,0.8062098501070664,0.7997858672376874,0.8137044967880086,0.765524625267666,0.7591006423982869,0.7644539614561028,0.7580299785867237,0.8147751605995718,0.8147751605995718,0.8147751605995718,0.8072805139186295,0.8137044967880086,0.816916488222698,0.7890792291220556,0.7762312633832976,0.7569593147751607,0.7591006423982869,0.7965738758029979,0.7301927194860813,0.8029978586723768,0.7933618843683083,0.8179871520342612,0.765524625267666,0.7623126338329764,0.7933618843683083,0.7805139186295503,0.7762312633832976,0.8083511777301927,0.8179871520342612,0.8083511777301927,0.7558886509635975,0.7890792291220556,0.7408993576017131,0.7708779443254818,0.7687366167023555,0.765524625267666,0.7633832976445396,0.7548179871520343,0.7483940042826552,0.974304068522484,0.7676659528907923
3L3X_A_27_B_2.pdb,0.9817987152034261,0.7483940042826552,0.8554603854389722,0.7505353319057816,0.9807280513918629,0.7730192719486081,0.7483940042826552,0.7644539614561028,0.9753747323340471,0.7291220556745182,0.7548179871520343,0.7676659528907923,0.9764453961456103,0.7516059957173448,0.7548179871520343,0.9732334047109208,0.7537473233404711,0.7505353319057816,0.7387580299785867,0.7419700214132763,0.7451820128479657,0.734475374732334,0.7012847965738758,0.7355460385438972,0.9828693790149893,0.7301927194860813,0.9882226980728052,0.7012847965738758,0.7494646680942184,0.7376873661670236,0.7462526766595289,0.7698072805139187,0.7248394004282656,0.9635974304068522,0.7419700214132763,0.9753747323340471,0.7548179871520343,0.9764453961456103,0.974304068522484,0.7376873661670236,0.7408993576017131,0.7537473233404711,0.7237687366167024,0.7376873661670236,0.7483940042826552,0.9828693790149893,0.974304068522484,0.8126338329764454,0.7376873661670236,0.9657387580299786,0.7451820128479657,0.7237687366167024,0.7451820128479657,0.765524625267666,0.7419700214132763,0.8319057815845824,0.7002141327623126,0.7526766595289079,0.7184154175588865,0.7473233404710921,0.7355460385438972,0.9764453961456103,0.7398286937901499,0.7665952890792291,1.0,0.7355460385438972,0.7430406852248393,0.7558886509635975,0.7483940042826552,0.7612419700214133,0.7376873661670236,0.7355460385438972,0.7516059957173448,0.7012847965738758,0.7473233404710921,0.7441113490364025,0.7569593147751607,0.7526766595289079,0.9764453961456103,0.734475374732334,0.9764453961456103,0.8062098501070664,0.7698072805139187,0.7526766595289079,0.7698072805139187,0.7612419700214133,0.7548179871520343,0.7687366167023555,0.7451820128479657,0.9817987152034261,0.7173447537473233,0.7226980728051392,0.7430406852248393,0.6991434689507494,0.7612419700214133,0.7462526766595289,0.7591006423982869,0.9732334047109208,0.8233404710920771,0.7408993576017131,0.7483940042826552,0.9796573875802997,0.7548179871520343,0.7558886509635975,0.7473233404710921,0.7162740899357601,0.7398286937901499,0.7034261241970021,0.8725910064239829,0.7323340471092077,0.721627408993576,0.8297644539614561,0.8137044967880086,0.708779443254818,0.7773019271948608,0.974304068522484
4XT9_A_27_B_2.pdb,0.7398286937901499,0.7494646680942184,0.7462526766595289,0.7558886509635975,0.7387580299785867,0.7601713062098501,0.7580299785867237,0.7890792291220556,0.7334047109207709,0.974304068522484,0.7548179871520343,0.7740899357601713,0.734475374732334,0.7526766595289079,0.7548179871520343,0.7376873661670236,0.7880085653104925,0.7558886509635975,0.7997858672376874,0.7387580299785867,0.778372591006424,0.9967880085653105,0.7558886509635975,0.9967880085653105,0.7398286937901499,0.9946466809421841,0.7355460385438972,0.7569593147751607,0.7537473233404711,0.7815845824411135,0.7548179871520343,0.7751605995717344,0.8693790149892934,0.7376873661670236,0.7451820128479657,0.7387580299785867,0.7633832976445396,0.734475374732334,0.7355460385438972,0.7805139186295503,0.7483940042826552,0.7569593147751607,0.7751605995717344,0.7815845824411135,0.7880085653104925,0.7355460385438972,0.7387580299785867,0.7162740899357601,0.7987152034261242,0.7376873661670236,0.7505353319057816,0.7794432548179872,0.7516059957173448,0.7762312633832976,0.7869379014989293,0.734475374732334,0.7569593147751607,0.7558886509635975,0.7751605995717344,0.7505353319057816,0.7794432548179872,0.734475374732334,0.784796573875803,0.7601713062098501,0.7355460385438972,1.0,0.7815845824411135,0.7558886509635975,0.7548179871520343,0.7612419700214133,0.7805139186295503,0.7794432548179872,0.7665952890792291,0.7558886509635975,0.7483940042826552,0.7516059957173448,0.765524625267666,0.7569593147751607,0.7334047109207709,0.9978586723768736,0.734475374732334,0.7291220556745182,0.7676659528907923,0.7591006423982869,0.7676659528907923,0.7623126338329764,0.7591006423982869,0.7676659528907923,0.7441113490364025,0.7398286937901499,0.7708779443254818,0.7537473233404711,0.8019271948608137,0.7408993576017131,0.7708779443254818,0.7441113490364025,0.7633832976445396,0.7355460385438972,0.728051391862955,0.8008565310492506,0.7880085653104925,0.7408993576017131,0.7612419700214133,0.7548179871520343,0.7526766595289079,0.7708779443254818,0.8008565310492506,0.7591006423982869,0.7355460385438972,0.867237687366167,0.7762312633832976,0.7301927194860813,0.7259100642398287,0.7644539614561028,0.7612419700214133,0.7355460385438972
3BEJ_B_27_F_2.pdb,0.7483940042826552,0.7591006423982869,0.7569593147751607,0.7623126338329764,0.7462526766595289,0.7762312633832976,0.7633832976445396,0.8179871520342612,0.7430406852248393,0.7805139186295503,0.7698072805139187,0.7794432548179872,0.7441113490364025,0.7633832976445396,0.7676659528907923,0.7483940042826552,0.8051391862955032,0.7633832976445396,0.7890792291220556,0.7494646680942184,0.8008565310492506,0.7805139186295503,0.7558886509635975,0.7805139186295503,0.7483940042826552,0.7762312633832976,0.7430406852248393,0.7580299785867237,0.765524625267666,0.7901498929336188,0.7580299785867237,0.7794432548179872,0.778372591006424,0.7473233404710921,0.7548179871520343,0.7516059957173448,0.7708779443254818,0.7441113490364025,0.7419700214132763,0.7922912205567452,0.7569593147751607,0.7698072805139187,0.7730192719486081,0.7901498929336188,0.9710920770877944,0.7473233404710921,0.7494646680942184,0.7291220556745182,0.7880085653104925,0.7494646680942184,0.7612419700214133,0.7762312633832976,0.7569593147751607,0.7880085653104925,0.9400428265524625,0.7483940042826552,0.7569593147751607,0.7676659528907923,0.771948608137045,0.7591006423982869,0.784796573875803,0.7441113490364025,0.7880085653104925,0.7773019271948608,0.7430406852248393,0.7815845824411135,1.0,0.771948608137045,0.7623126338329764,0.7676659528907923,0.791220556745182,0.784796573875803,0.771948608137045,0.7526766595289079,0.7601713062098501,0.7601713062098501,0.7708779443254818,0.7687366167023555,0.7473233404710921,0.7805139186295503,0.7441113490364025,0.7398286937901499,0.7740899357601713,0.7665952890792291,0.7740899357601713,0.7665952890792291,0.7687366167023555,0.7740899357601713,0.7537473233404711,0.7483940042826552,0.7687366167023555,0.7580299785867237,0.7890792291220556,0.7462526766595289,0.778372591006424,0.7548179871520343,0.7698072805139187,0.7451820128479657,0.7430406852248393,0.7858672376873662,0.9550321199143469,0.7494646680942184,0.7665952890792291,0.7687366167023555,0.7623126338329764,0.7698072805139187,0.7880085653104925,0.7569593147751607,0.7483940042826552,0.7794432548179872,0.7773019271948608,0.7441113490364025,0.7376873661670236,0.7623126338329764,0.7805139186295503,0.7430406852248393
4PXM_B_27_D_2.pdb,0.7623126338329764,0.9528907922912205,0.7601713062098501,0.9464668094218416,0.7612419700214133,0.80406852248394,0.9539614561027837,0.784796573875803,0.7569593147751607,0.7558886509635975,0.9807280513918629,0.8029978586723768,0.7580299785867237,0.9625267665952891,0.9571734475374732,0.7612419700214133,0.7773019271948608,0.9561027837259101,0.771948608137045,0.7740899357601713,0.7708779443254818,0.7558886509635975,0.7334047109207709,0.7558886509635975,0.7623126338329764,0.7526766595289079,0.7548179871520343,0.734475374732334,0.9678800856531049,0.7751605995717344,0.9411134903640257,0.816916488222698,0.7580299785867237,0.7601713062098501,0.9411134903640257,0.7601713062098501,0.9325481798715204,0.7580299785867237,0.7516059957173448,0.7740899357601713,0.7762312633832976,0.9689507494646681,0.7558886509635975,0.7740899357601713,0.7773019271948608,0.7548179871520343,0.7623126338329764,0.7473233404710921,0.7708779443254818,0.7569593147751607,0.943254817987152,0.7548179871520343,0.9421841541755889,0.8126338329764454,0.7751605995717344,0.7708779443254818,0.734475374732334,0.9721627408993576,0.7494646680942184,0.9486081370449678,0.7708779443254818,0.7580299785867237,0.7730192719486081,0.815845824411135,0.7558886509635975,0.7558886509635975,0.771948608137045,1.0,0.9464668094218416,0.8758029978586723,0.7751605995717344,0.7708779443254818,0.7965738758029979,0.734475374732334,0.9550321199143469,0.9582441113490364,0.7815845824411135,0.9732334047109208,0.7569593147751607,0.7558886509635975,0.7580299785867237,0.7526766595289079,0.880085653104925,0.9635974304068522,0.8779443254817987,0.8790149892933619,0.9668094218415417,0.8865096359743041,0.7751605995717344,0.7623126338329764,0.7494646680942184,0.7483940042826552,0.7751605995717344,0.7194860813704497,0.7901498929336188,0.7815845824411135,0.9625267665952891,0.7591006423982869,0.7591006423982869,0.7740899357601713,0.7773019271948608,0.7623126338329764,0.9379014989293362,0.9635974304068522,0.9635974304068522,0.7473233404710921,0.771948608137045,0.7355460385438972,0.7591006423982869,0.7601713062098501,0.7516059957173448,0.7612419700214133,0.7516059957173448,0.7398286937901499,0.816916488222698,0.7526766595289079
2JF9_AC_27_R_3.pdb,0.7558886509635975,0.9379014989293362,0.7548179871520343,0.9785867237687366,0.7548179871520343,0.7933618843683083,0.9550321199143469,0.7698072805139187,0.7526766595289079,0.7644539614561028,0.9571734475374732,0.7933618843683083,0.7537473233404711,0.961456102783726,0.9314775160599572,0.7558886509635975,0.7676659528907923,0.9561027837259101,0.7665952890792291,0.7612419700214133,0.7591006423982869,0.7526766595289079,0.7259100642398287,0.7569593147751607,0.7558886509635975,0.7505353319057816,0.7494646680942184,0.7248394004282656,0.9464668094218416,0.7633832976445396,0.9453961456102784,0.8051391862955032,0.7526766595289079,0.7558886509635975,0.9571734475374732,0.7548179871520343,0.9197002141327623,0.7537473233404711,0.7462526766595289,0.7623126338329764,0.7644539614561028,0.9475374732334048,0.7462526766595289,0.7633832976445396,0.7698072805139187,0.7494646680942184,0.7569593147751607,0.7355460385438972,0.765524625267666,0.7516059957173448,0.9700214132762313,0.7430406852248393,0.949678800856531,0.8008565310492506,0.7633832976445396,0.7644539614561028,0.7269807280513919,0.9475374732334048,0.7387580299785867,0.9400428265524625,0.7601713062098501,0.7537473233404711,0.7633832976445396,0.80406852248394,0.7483940042826552,0.7548179871520343,0.7623126338329764,0.9464668094218416,1.0,0.8586723768736617,0.7623126338329764,0.7601713062098501,0.7837259100642399,0.7259100642398287,0.9325481798715204,0.9443254817987152,0.7730192719486081,0.9486081370449678,0.7526766595289079,0.7537473233404711,0.7537473233404711,0.7665952890792291,0.8629550321199143,0.9603854389721628,0.8640256959314775,0.8629550321199143,0.9528907922912205,0.8661670235546038,0.765524625267666,0.7558886509635975,0.7366167023554604,0.7408993576017131,0.7708779443254818,0.7119914346895075,0.7805139186295503,0.7665952890792291,0.943254817987152,0.7548179871520343,0.7548179871520343,0.7687366167023555,0.765524625267666,0.7558886509635975,0.9261241970021413,0.9528907922912205,0.9453961456102784,0.7366167023554604,0.7687366167023555,0.7248394004282656,0.7548179871520343,0.7591006423982869,0.7483940042826552,0.7569593147751607,0.7633832976445396,0.728051391862955,0.80406852248394,0.7473233404710921
